division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
35,(Inactive) Women's 16-17 Age Group +81kg,2025-08-09T23:55:18.924Z,47,47,47,0,UPLOAD_STARTED,94
36,(Inactive) Men's 16-17 Age Group 50 kg,2025-08-09T23:56:29.968Z,4,4,4,0,UPLOAD_STARTED,66
37,(Inactive) Men's 16-17 Age Group 56 kg,2025-08-09T23:57:38.999Z,19,19,19,0,UPLOAD_STARTED,64
38,(Inactive) Men's 16-17 Age Group 62 kg,2025-08-09T23:59:05.086Z,44,44,44,0,UPLOAD_STARTED,81
39,(Inactive) Men's 16-17 Age Group 69 kg,2025-08-10T00:01:09.035Z,77,77,77,0,UPLOAD_STARTED,119
40,(Inactive) Men's 16-17 Age Group 77 kg,2025-08-10T00:03:36.014Z,91,91,91,0,UPLOAD_STARTED,142
41,(Inactive) Men's 16-17 Age Group 85 kg,2025-08-10T00:05:34.106Z,72,72,72,0,UPLOAD_STARTED,113
42,(Inactive) Men's 16-17 Age Group 94 kg,2025-08-10T00:07:13.511Z,60,60,60,0,UPLOAD_STARTED,94
43,(Inactive) Men's 16-17 Age Group 105 kg,2025-08-10T00:08:48.210Z,43,43,43,0,UPLOAD_STARTED,90
44,(Inactive) Men's 16-17 Age Group +105 kg,2025-08-10T00:10:24.992Z,49,49,49,0,UPLOAD_STARTED,92
45,(Inactive) Men's 16-17 Age Group 49kg,2025-08-10T00:11:38.044Z,3,3,3,0,UPLOAD_STARTED,68
46,(Inactive) Men's 16-17 Age Group 55kg,2025-08-10T00:12:52.122Z,18,18,18,0,UPLOAD_STARTED,69
47,(Inactive) Men's 16-17 Age Group 61kg,2025-08-10T00:14:29.672Z,42,42,42,0,UPLOAD_STARTED,93
48,(Inactive) Men's 16-17 Age Group 67kg,2025-08-10T00:16:23.833Z,70,70,70,0,UPLOAD_STARTED,109
49,(Inactive) Men's 16-17 Age Group 73kg,2025-08-10T00:18:23.212Z,86,86,86,0,UPLOAD_STARTED,114
50,(Inactive) Men's 16-17 Age Group 81kg,2025-08-10T00:20:17.890Z,72,72,72,0,UPLOAD_STARTED,110
51,(Inactive) Men's 16-17 Age Group 89kg,2025-08-10T00:22:14.519Z,66,66,66,0,UPLOAD_STARTED,112
52,(Inactive) Men's 16-17 Age Group 96kg,2025-08-10T00:23:48.745Z,36,36,36,0,UPLOAD_STARTED,89
53,(Inactive) Men's 16-17 Age Group 102kg,2025-08-10T00:24:58.565Z,24,24,24,0,UPLOAD_STARTED,65
54,(Inactive) Men's 16-17 Age Group +102kg,2025-08-10T00:26:32.571Z,52,52,52,0,UPLOAD_STARTED,89
55,(Inactive) Junior Women's 48 kg,2025-08-10T00:28:05.318Z,51,51,51,0,UPLOAD_STARTED,88
56,(Inactive) Junior Women's 53 kg,2025-08-10T00:30:29.910Z,106,106,106,0,UPLOAD_STARTED,140
57,(Inactive) Junior Women's 58 kg,2025-08-10T00:33:41.192Z,198,198,198,0,UPLOAD_STARTED,186
